"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"CECILSHORTS","Cecil Shorts","WR","JAX",50,138,0,0,0,0,0,NA,915,5,0,0,121.5
"GREGJENNINGS","Greg Jennings","WR","MIN",51,139,0,0,0,0,0,NA,860,6,0,1,120
"KHIRYROBINSON","Khiry Robinson","RB","NO",45,140,0,0,0,697,5,NA,129,1,0,0,118.6
"CHRISIVORY","Chris Ivory","RB","NYJ",46,141,0,0,0,791,6,NA,34,0,0,0,118.5
"ROBERTWOODS","Robert Woods","WR","BUF",52,142,0,0,0,12,0,NA,805,6,0,0,117.7
"MARKUSWHEATON","Markus Wheaton","WR","PIT",53,143,0,0,0,13,0,NA,792,6,0,0,116.5
"KENNYBRITT","Kenny Britt","WR","STL",54,144,0,0,0,0,0,NA,880,5,0,1,116
"AARONDOBSON","Aaron Dobson","WR","NE",55,145,0,0,0,0,0,NA,863,5,0,1,114.3
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",10,146,0,0,0,0,0,NA,662,8,0,0,114.2
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",47,147,0,0,0,665,5,NA,115,1,0,0,114
"KENNYSTILLS","Kenny Stills","WR","NO",56,148,0,0,0,26,0,NA,753,6,0,0,113.9
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",11,149,0,0,0,0,0,NA,717,7,0,0,113.7
"STEVESMITH","Steve Smith","WR","BAL",57,150,0,0,0,0,0,NA,791,6,0,1,113.1
"CHARLESCLAY","Charles Clay","TE","MIA",12,151,0,0,0,0,0,NA,765,6,0,0,112.5
"JAMESJONES","James Jones","WR","OAK",58,152,0,0,0,0,0,NA,841,5,0,1,112.1
"SHONNGREENE","Shonn Greene","RB","TEN",48,153,0,0,0,798,5,NA,59,0,0,2,111.7
"MILESAUSTIN","Miles Austin","WR","CLE",59,154,0,0,0,0,0,NA,761,6,0,1,110.1
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",60,155,0,0,0,0,0,NA,760,6,0,1,110
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",49,156,0,0,0,611,5,NA,122,1,0,0,109.3
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",61,157,0,0,0,0,0,NA,791,5,0,0,109.1
"MALCOMFLOYD","Malcom Floyd","WR","SD",62,158,0,0,0,0,0,NA,717,6,0,0,107.7
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",63,159,0,0,0,0,0,NA,765,5,0,0,106.5
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",50,160,0,0,0,710,5,NA,93,0,0,2,106.3
"ZACHERTZ","Zach Ertz","TE","PHI",13,161,0,0,0,0,0,NA,761,5,0,0,106.1
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",64,162,0,0,0,20,0,NA,732,5,0,0,105.2
"MIKEWILLIAMS","Mike Williams","WR","BUF",65,163,0,0,0,0,0,NA,770,5,0,1,105
"LADARIUSGREEN","Ladarius Green","TE","SD",14,164,0,0,0,0,0,NA,680,6,0,0,104
"CHRISGIVENS","Chris Givens","WR","STL",66,165,0,0,0,8,0,NA,689,6,0,1,103.7
"HARRYDOUGLAS","Harry Douglas","WR","ATL",67,166,0,0,0,0,0,NA,734,5,0,0,103.4
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",68,167,0,0,0,0,0,NA,690,6,0,1,103
"DELANIEWALKER","Delanie Walker","TE","TEN",15,167,0,0,0,0,0,NA,690,6,0,1,103
"KNILEDAVIS","Knile Davis","RB","KC",51,169,0,0,0,608,4,NA,160,1,0,2,102.8
"ANDREHOLMES","Andre Holmes","WR","OAK",69,170,0,0,0,0,0,NA,724,5,0,0,102.4
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",52,171,0,0,0,652,6,NA,39,0,0,2,101.1
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",53,172,0,0,0,604,4,NA,164,0,0,0,100.8
"ANTONIOGATES","Antonio Gates","TE","SD",16,173,0,0,0,0,0,NA,726,5,0,1,100.6
"MARQISELEE","Marqise Lee","WR","JAX",70,174,0,0,0,0,0,NA,774,4,0,1,99.4
"RODSTREATER","Rod Streater","WR","OAK",71,175,0,0,0,7,0,NA,640,6,0,1,98.7
"HEATHMILLER","Heath Miller","TE","PIT",17,175,0,0,0,0,0,NA,647,6,0,1,98.7
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",54,177,0,0,0,525,5,NA,80,1,0,0,96.5
"JAMESSTARKS","James Starks","RB","GB",55,178,0,0,0,469,4,NA,194,1,0,0,96.3
"NATEWASHINGTON","Nate Washington","WR","TEN",72,178,0,0,0,0,0,NA,723,4,0,0,96.3
"DONNIEAVERY","Donnie Avery","WR","KC",73,180,0,0,0,6,0,NA,730,4,0,1,95.6
"TYLEREIFERT","Tyler Eifert","TE","CIN",18,181,0,0,0,0,0,NA,650,5,0,0,95
"JAREDCOOK","Jared Cook","TE","STL",19,182,0,0,0,0,0,NA,541,7,0,1,94.1
"DWAYNEALLEN","Dwayne Allen","TE","IND",20,183,0,0,0,0,0,NA,578,6,0,0,93.8
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",74,184,0,0,0,0,0,NA,680,4,0,0,92
"GARRETTGRAHAM","Garrett Graham","TE","HOU",21,185,0,0,0,0,0,NA,612,5,0,0,91.2
"ERICEBRON","Eric Ebron","TE","DET",22,186,0,0,0,0,0,NA,630,5,0,1,91
"ODELLBECKHAM","Odell Beckham","WR","NYG",75,187,0,0,0,10,0,NA,649,4,0,0,89.9
"LANCEDUNBAR","Lance Dunbar","RB","DAL",56,188,0,0,0,449,5,NA,100,1,0,1,88.9
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",57,189,0,0,0,312,6,NA,140,1,0,1,85.2
"JEREMYHILL","Jeremy Hill","RB","CIN",58,190,0,0,0,510,3,NA,81,2,0,2,85.1
"ROYHELU","Roy Helu","RB","WAS",59,191,0,0,0,405,3,NA,224,1,0,1,84.9
"COBYFLEENER","Coby Fleener","TE","IND",23,192,0,0,0,0,0,NA,501,5,1,0,82.1
"EDDIEROYAL","Eddie Royal","WR","SD",76,193,0,0,0,9,0,NA,590,4,0,1,81.9
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",60,194,0,0,0,494,4,NA,102,0,0,1,81.6
"STEVEJOHNSON","Steve Johnson","WR","SF",77,195,0,0,0,6,0,NA,588,4,0,1,81.4
"MARVINJONES","Marvin Jones","WR","CIN",78,196,0,0,0,33,0,NA,539,4,0,0,81.2
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",79,197,0,0,0,13,0,NA,651,3,0,2,80.4
"ACESANDERS","Ace Sanders","WR","JAX",80,198,0,0,0,4,0,NA,557,4,0,0,80.1
"ANDREWQUARLESS","Andrew Quarless","TE","GB",24,198,0,0,0,0,0,NA,501,5,0,0,80.1
"ANDREROBERTS","Andre Roberts","WR","WAS",81,200,0,0,0,0,0,NA,559,4,0,0,79.9
"MIKETOLBERT","Mike Tolbert","RB","CAR",61,201,0,0,0,379,3,NA,178,1,0,0,79.7
"DENARIUSMOORE","Denarius Moore","WR","OAK",82,202,0,0,0,0,0,NA,573,4,0,1,79.3
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",62,203,0,0,0,310,3,NA,240,1,0,0,79
"NATEBURLESON","Nate Burleson","WR","CLE",83,203,0,0,0,0,0,NA,570,4,0,1,79
"DAVANTEADAMS","Davante Adams","WR","GB",84,205,0,0,0,0,0,NA,509,5,0,1,78.9
"LEVINETOILOLO","Levine Toilolo","TE","ATL",25,206,0,0,0,0,0,NA,545,4,0,0,78.5
"GREGLITTLE","Greg Little","WR","OAK",85,207,0,0,0,0,0,NA,541,4,0,0,78.1
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",26,208,0,0,0,0,0,NA,480,5,0,0,78
"LANCEMOORE","Lance Moore","WR","PIT",86,209,0,0,0,0,0,NA,550,4,0,1,77
"KRISDURHAM","Kris Durham","WR","DET",87,210,0,0,0,0,0,NA,526,4,0,0,76.6
"BRANDONGIBSON","Brandon Gibson","WR","MIA",88,211,0,0,0,0,0,NA,584,3,0,0,76.4
"EARLBENNETT","Earl Bennett","WR",NA,89,212,0,0,0,0,0,NA,522,4,0,0,76.2
"ZACHMILLER","Zach Miller","TE","SEA",27,213,0,0,0,0,0,NA,459,5,0,0,75.9
"MARLONBROWN","Marlon Brown","WR","BAL",90,214,0,0,0,0,0,NA,506,4,0,0,74.6
"JEROMESIMPSON","Jerome Simpson","WR","MIN",91,215,0,0,0,0,0,NA,582,3,0,1,74.2
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",92,216,0,0,0,71,0,NA,490,3,0,0,74.1
"CJANDERSON","C.J. Anderson","RB","DEN",63,217,0,0,0,365,2,NA,194,1,0,0,73.9
"BRENTCELEK","Brent Celek","TE","PHI",28,218,0,0,0,0,0,NA,512,4,0,1,73.2
"TRAVISKELCE","Travis Kelce","TE","KC",29,219,0,0,0,0,0,NA,487,4,0,0,72.7
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",93,220,0,0,0,0,0,NA,541,3,0,0,72.1
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",64,221,0,0,0,322,4,NA,98,1,0,0,72
"JACOBYJONES","Jacoby Jones","WR","BAL",94,222,0,0,0,27,0,NA,531,3,0,1,71.8
"ROBERTTURBIN","Robert Turbin","RB","SEA",65,223,0,0,0,400,4,NA,95,0,0,1,71.5
"BRANDONLAFELL","Brandon LaFell","WR","NE",95,224,0,0,0,8,0,NA,524,3,0,0,71.2
"MYCHALRIVERA","Mychal Rivera","TE","OAK",30,225,0,0,0,0,0,NA,469,4,0,0,70.9
"AUSTINPETTIS","Austin Pettis","WR","STL",96,226,0,0,0,0,0,NA,528,3,0,0,70.8
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",97,227,0,0,0,17,0,NA,530,3,0,1,70.7
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",98,228,0,0,0,33,0,NA,510,3,0,1,70.3
"BOBBYRAINEY","Bobby Rainey","RB","TB",66,229,0,0,0,401,3,NA,80,1,0,1,70.1
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",31,230,0,0,0,0,0,NA,450,4,0,0,69
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",31,230,0,0,0,0,0,NA,490,4,0,2,69
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",33,232,0,0,0,0,0,NA,449,4,0,0,68.9
"TREMASON","Tre Mason","RB","STL",67,233,0,0,0,348,2,NA,166,1,0,1,67.4
"JOSHGORDON","Josh Gordon","WR","CLE",99,234,0,0,0,48,0,NA,500,2,0,0,66.8
"ROBHOUSLER","Rob Housler","TE","ARI",34,234,0,0,0,0,0,NA,488,3,0,0,66.8
"TEDGINN","Ted Ginn","WR","ARI",100,236,0,0,0,22,0,NA,460,3,0,0,66.2
"OWENDANIELS","Owen Daniels","TE","BAL",35,236,0,0,0,0,0,NA,442,4,0,1,66.2
"VINCENTBROWN","Vincent Brown","WR","SD",101,238,0,0,0,0,0,NA,478,3,0,0,65.8
"TIMOTHYWRIGHT","Timothy Wright","TE","TB",36,239,0,0,0,0,0,NA,472,3,0,0,65.2
"STEPHENHILL","Stephen Hill","WR","NYJ",102,240,0,0,0,0,0,NA,471,3,0,0,65.1
"DONTEMONCRIEF","Donte Moncrief","WR","IND",103,241,0,0,0,0,0,NA,469,3,0,0,64.9
"SCOTTCHANDLER","Scott Chandler","TE","BUF",37,241,0,0,0,0,0,NA,489,3,0,1,64.9
"JASONAVANT","Jason Avant","WR","CAR",104,243,0,0,0,0,0,NA,467,3,0,0,64.7
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",105,244,0,0,0,0,0,NA,480,3,0,1,64
"CODYLATIMER","Cody Latimer","WR","DEN",106,245,0,0,0,0,0,NA,475,3,0,1,63.5
"BRANDONMYERS","Brandon Myers","TE","TB",38,246,0,0,0,0,0,NA,452,3,0,0,63.2
"SANTONIOHOLMES","Santonio Holmes","WR","CHI",107,247,0,0,0,0,0,NA,530,2,0,1,63
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",107,247,0,0,0,0,0,NA,470,3,0,1,63
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",109,249,0,0,0,0,0,NA,465,3,0,1,62.5
"JAMESWHITE","James White","RB","NE",68,250,0,0,0,81,7,NA,61,1,0,0,62.2
"RYANBROYLES","Ryan Broyles","WR","DET",110,251,0,0,0,0,0,NA,441,3,0,0,62.1
"JACEAMARO","Jace Amaro","TE","NYJ",39,252,0,0,0,0,0,NA,400,4,0,1,62
"ALLENROBINSON","Allen Robinson","WR","JAX",111,253,0,0,0,0,0,NA,453,3,0,1,61.3
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",69,254,0,0,0,191,3,NA,103,2,0,0,59.4
